iris,0.9585,0.9,0.9378,0.85,0.97,0.1097,0.935,0.91,chc
cleveland,0.7003,0.5659,0.5024,0.2849,0.9465,0.2684,0.7562,0.6157,chc
led7digit,0.7476,0.73,0.7193,0.6992,0.9682,0.3557,0.8491,0.8337,chc
pima,0.8132,0.7283,0.5688,0.3752,0.9405,0.7985,0.8344,0.65785,chc
wdbc,0.9631,0.9354,0.9199,0.8599,0.9865,0.6287,0.96095,0.9232,chc
monk2,0.91,0.8797,0.8196,0.7588,0.9611,0.4123,0.9204,0.85995,chc
wisconsin,0.973,0.9651,0.9405,0.9233,0.9914,0.7332,0.97825,0.95735,chc
wine,0.9606,0.9527,0.9398,0.9272,0.9798,0.1367,0.96625,0.9535,chc
glass,0.7784,0.6482,0.6734,0.4813,0.9266,0.1676,0.7874,0.70395,chc
banknote,0.9981,0.9993,0.9961,0.9985,0.9527,1.3379,0.976,0.9756,chc
appendicitis,0.9288,0.9338,0.6988,0.6424,0.9792,0.103,0.9565,0.8108,chc
balance,0.869,0.8462,0.7555,0.7145,0.9626,0.615,0.9044,0.83855,chc
bands,0.7591,0.6825,0.4559,0.2739,0.9537,0.3133,0.8181,0.6138,chc
contraceptive,0.6411,0.4746,0.4423,0.1849,0.8444,1.5983,0.6595,0.51465,chc
dermatology,0.9532,0.9118,0.9412,0.8891,0.9718,0.3737,0.9418,0.93045,chc
ecoli,0.8648,0.8228,0.8007,0.7366,0.961,0.3069,0.8919,0.8488,chc
haberman,0.7956,0.7683,0.3214,0.2651,0.982,0.292,0.87515,0.62355,chc
hayes_roth,0.7111,0.6375,0.5504,0.4333,0.9388,0.1336,0.78815,0.68605,chc
heart,0.8646,0.8111,0.7232,0.6142,0.9756,0.2325,0.89335,0.7949,chc
hepatitis,0.9194,0.8625,0.6624,0.3505,0.9663,0.0733,0.9144,0.6584,chc
mammographic,0.8333,0.8048,0.6667,0.6097,0.9665,0.9039,0.88565,0.7881,chc
newthyroid,0.9633,0.9628,0.9126,0.9129,0.9814,0.1926,0.9721,0.94715,chc
tae,0.6409,0.5154,0.4583,0.2499,0.9404,0.1154,0.7279,0.59515,chc
vehicle,0.7888,0.6587,0.7185,0.545,0.9007,0.9109,0.7797,0.72285,chc
vowel,0.9327,0.8535,0.9259,0.8389,0.8156,0.9711,0.83455,0.82725,chc
yeast,0.6909,0.5398,0.5953,0.3979,0.8494,1.6069,0.6946,0.62365,chc
banana,0.8986,0.8916,0.7941,0.7799,0.9654,1.8342,0.9285,0.87265,chc
cardiotocography,0.8928,0.8855,0.6854,0.6626,0.9747,0.8028,0.9301,0.81865,chc
eye_state,0.825,0.7829,0.646,0.5609,0.8324,5.6788,0.80765,0.69665,chc
page_blocks,0.9585,0.9542,0.7596,0.7342,0.9861,2.5129,0.97015,0.86015,chc
penbased,0.9848,0.9829,0.9831,0.9809,0.9332,3.5643,0.95805,0.95705,chc
satimage,0.897,0.8844,0.8726,0.8571,0.9501,2.3742,0.91725,0.9036,chc
thyroid,0.9431,0.9412,0.4272,0.4032,0.9882,3.0773,0.9647,0.6957,chc
segment,0.2311,0.1515,0.1029,0.0101,0.926,0.8781,0.53875,0.46805,chc
coil2000,0.9377,0.9359,0.0584,0.0255,0.9819,5.481,0.9589,0.5037,chc
magic,0.844,0.8106,0.6482,0.5707,0.8601,8.2651,0.83535,0.7154,chc
marketing,0.3807,0.2867,0.2882,0.1797,0.8911,2.4493,0.5889,0.5354,chc
phoneme,0.8373,0.8168,0.6045,0.5535,0.9586,2.0545,0.8877,0.75605,chc
ring,0.9091,0.8983,0.818,0.7963,0.953,3.7638,0.92565,0.87465,chc
spambase,0.8875,0.8775,0.7643,0.7436,0.9719,1.594,0.9247,0.85775,chc
texture,0.9635,0.9584,0.9599,0.9543,0.9285,1.7402,0.94345,0.9414,chc
titanic,0.7829,0.781,0.4586,0.4515,0.9911,0.5162,0.88605,0.7213,chc
twonorm,0.9593,0.9559,0.9186,0.9117,0.9808,2.4462,0.96835,0.94625,chc
credit_card,0.7944,0.7888,0.3286,0.307,0.974,12.2479,0.8814,0.6405,chc
shuttle,0.9977,0.998,0.9942,0.9941,0.949,21.4851,0.9735,0.97155,chc
