iris,0.303,0.32,-0.0456,-0.02,0.924,8.4874,0.622,0.452,Cnn-gga
cleveland,0.5293,0.3679,0.3537,0.1336,0.6963,7.9552,0.5321,0.41495,Cnn-gga
led7digit,0.6047,0.536,0.5591,0.4826,0.4976,10.0936,0.5168,0.4901,Cnn-gga
pima,0.7962,0.6137,0.5746,0.1733,0.6272,20.3269,0.62045,0.40025,Cnn-gga
wdbc,0.6694,0.6784,0.3348,0.3413,0.9313,58.66,0.80485,0.6363,Cnn-gga
monk2,0.7477,0.7167,0.4912,0.4271,0.7556,10.7442,0.73615,0.59135,Cnn-gga
wisconsin,0.3132,0.3147,-0.1204,-0.1146,0.9529,363.522,0.6338,0.41915,Cnn-gga
wine,0.3945,0.3988,0.005,0.0191,0.9202,9.9247,0.6595,0.46965,Cnn-gga
glass,0.409,0.324,0.1886,0.051,0.8065,5.6923,0.56525,0.42875,Cnn-gga
banknote,0.5184,0.5102,0.0812,0.0678,0.9848,373.86,0.7475,0.5263,Cnn-gga
appendicitis,0.1747,0.1563,-0.0476,-0.0932,0.9358,4.0006,0.54605,0.4213,Cnn-gga
balance,0.9204,0.7651,0.8647,0.5975,0.6248,19.5066,0.69495,0.61115,Cnn-gga
bands,0.7986,0.6423,0.586,0.2476,0.5633,9.7889,0.6028,0.40545,Cnn-gga
contraceptive,0.9028,0.4222,0.85,0.1121,0.3169,38.6017,0.36955,0.2145,Cnn-gga
dermatology,0.4545,0.4624,0.34,0.3427,0.9212,31.4329,0.6918,0.63195,Cnn-gga
ecoli,0.553,0.5303,0.4009,0.3704,0.8086,11.0493,0.66945,0.5895,Cnn-gga
haberman,0.6193,0.5517,0.2413,0.0795,0.7,6.2717,0.62585,0.38975,Cnn-gga
hayes-roth,0.5792,0.5875,0.3234,0.3317,0.6288,1.7985,0.60815,0.48025,Cnn-gga
heart,0.6284,0.5444,0.2698,0.1018,0.7552,6.9793,0.6498,0.4285,Cnn-gga
hepatitis,0.2208,0.175,0.0044,-0.0382,0.895,3.1597,0.535,0.4284,Cnn-gga
mammographic,0.7618,0.6639,0.5233,0.327,0.6719,25.0182,0.6679,0.49945,Cnn-gga
newthyroid,0.3228,0.365,0.1216,0.1462,0.947,22.7798,0.656,0.5466,Cnn-gga
tae,0.4702,0.3988,0.2035,0.1067,0.6715,1.7293,0.53515,0.3891,Cnn-gga
vehicle,0.7324,0.6024,0.6424,0.4689,0.6746,29.7396,0.6385,0.57175,Cnn-gga
vowel,0.586,0.602,0.5446,0.5622,0.8578,39.0387,0.7299,0.71,Cnn-gga
yeast,0.9031,0.5188,0.8737,0.3691,0.4065,40.0306,0.46265,0.3878,Cnn-gga
banana,0.837,0.793,0.6838,0.5855,0.8698,143.118,0.8314,0.72765,Cnn-gga
cardiotocography,0.7095,0.6793,0.4598,0.3887,0.8567,60.1878,0.768,0.6227,Cnn-gga
eye-state,0.8868,0.79,0.7828,0.5787,0.6282,231.223,0.7091,0.60345,Cnn-gga
page-blocks,0.7852,0.7752,0.3919,0.3442,0.9472,694.156,0.8612,0.6457,Cnn-gga
penbased,0.9485,0.954,0.9438,0.9488,0.9346,515.662,0.9443,0.9417,Cnn-gga
satimage,0.8691,0.8292,0.842,0.7911,0.8576,238.503,0.8434,0.82435,Cnn-gga
thyroid,0.8393,0.8158,0.4006,0.2771,0.8964,280.098,0.8561,0.58675,Cnn-gga
segment,0.7321,0.1606,0.6891,0.0207,0.3306,21.6793,0.2456,0.17565,Cnn-gga
coil2000,0.7481,0.7008,0.2124,0.0491,0.8571,339.515,0.77895,0.4531,Cnn-gga
magic,0.8244,0.7278,0.6557,0.4453,0.7179,426.673,0.72285,0.5816,Cnn-gga
marketing,0.7031,0.2532,0.6639,0.1514,0.3992,87.8192,0.3262,0.2753,Cnn-gga
phoneme,0.7686,0.727,0.519,0.4164,0.8306,243.043,0.7788,0.6235,Cnn-gga
ring,0.8275,0.733,0.664,0.4633,0.7424,197.249,0.7377,0.60285,Cnn-gga
spambase,0.8256,0.7844,0.6574,0.564,0.8252,93.0783,0.8048,0.6946,Cnn-gga
texture,0.8071,0.8042,0.7888,0.7846,0.8905,151.473,0.84735,0.83755,Cnn-gga
titanic,0.5624,0.5702,-0.0657,-0.0621,0.7318,31.2225,0.651,0.33485,Cnn-gga
twonorm,0.9095,0.8884,0.8291,0.7768,0.8511,203.482,0.86975,0.81395,Cnn-gga
credit-card,0.7,0.564,0.3824,0.1055,0.6966,563.665,0.6303,0.40105,Cnn-gga
shuttle,0.7212,0.7222,0.5131,0.5134,0.9852,16384.1,0.8537,0.7493,Cnn-gga
