iris,0.9726,0.9333,0.9589,0.9,0.9707,0.3046,0.952,0.93535,Cnn-rss-ma
cleveland,0.7303,0.5741,0.5455,0.304,0.9205,1.1551,0.7473,0.61225,Cnn-rss-ma
led7digit,0.7738,0.746,0.7482,0.717,0.9698,1.764,0.8579,0.8434,Cnn-rss-ma
pima,0.8281,0.7213,0.6135,0.3763,0.9512,6.6283,0.83625,0.66375,Cnn-rss-ma
wdbc,0.9664,0.9469,0.9273,0.8852,0.988,4.3109,0.96745,0.9366,Cnn-rss-ma
monk2,0.9535,0.9465,0.9067,0.8928,0.9706,2.557,0.95855,0.9317,Cnn-rss-ma
wisconsin,0.9779,0.9577,0.9513,0.9072,0.9933,8.2103,0.9755,0.95025,Cnn-rss-ma
wine,0.9819,0.9409,0.9725,0.9107,0.9685,0.3847,0.9547,0.9396,Cnn-rss-ma
glass,0.8364,0.7236,0.7614,0.5906,0.9107,0.5561,0.81715,0.75065,Cnn-rss-ma
banknote,0.9969,0.9934,0.9938,0.9867,0.9914,18.7481,0.9924,0.98905,Cnn-rss-ma
appendicitis,0.9528,0.9338,0.7774,0.6732,0.9708,0.3227,0.9523,0.822,Cnn-rss-ma
balance,0.8683,0.8387,0.7533,0.6981,0.9723,4.0537,0.9055,0.8352,Cnn-rss-ma
bands,0.7912,0.6412,0.5318,0.1805,0.9419,1.5031,0.79155,0.5612,Cnn-rss-ma
contraceptive,0.645,0.4889,0.4451,0.2005,0.921,39.5381,0.70495,0.56075,Cnn-rss-ma
dermatology,0.9684,0.9318,0.96,0.9132,0.9626,1.4353,0.9472,0.9379,Cnn-rss-ma
ecoli,0.8879,0.8172,0.8378,0.732,0.9494,1.4201,0.8833,0.8407,Cnn-rss-ma
haberman,0.8119,0.7183,0.4173,0.1254,0.9703,1.4346,0.8443,0.54785,Cnn-rss-ma
hayes-roth,0.7681,0.6438,0.6383,0.433,0.9225,0.2822,0.78315,0.67775,Cnn-rss-ma
heart,0.8778,0.8222,0.7511,0.6378,0.9719,0.7823,0.89705,0.80485,Cnn-rss-ma
hepatitis,0.9125,0.8125,0.6414,0.3098,0.9688,0.1244,0.89065,0.6393,Cnn-rss-ma
mammographic,0.843,0.806,0.6857,0.6117,0.9861,10.2855,0.89605,0.7989,Cnn-rss-ma
newthyroid,0.9742,0.9381,0.941,0.8504,0.9753,0.8506,0.9567,0.91285,Cnn-rss-ma
tae,0.7425,0.5158,0.6071,0.2551,0.8682,0.2351,0.692,0.56165,Cnn-rss-ma
vehicle,0.8167,0.6563,0.7556,0.5415,0.9046,7.4441,0.78045,0.72305,Cnn-rss-ma
vowel,0.8846,0.8,0.8731,0.78,0.8721,5.9631,0.83605,0.82605,Cnn-rss-ma
yeast,0.6983,0.5573,0.6035,0.4204,0.9259,35.5053,0.7416,0.67315,Cnn-rss-ma
banana,0.8774,0.8792,0.7629,0.7564,0.9715,16.4339,0.92535,0.86395,Cnn-rss-ma
cardiotocography,0.8714,0.8728,0.6403,0.6243,0.9831,3.151,0.92795,0.8037,Cnn-rss-ma
eye-state,0.6811,0.6801,0.3634,0.351,0.99,167.572,0.83505,0.6705,Cnn-rss-ma
page-blocks,0.9316,0.9397,0.6278,0.6243,0.9961,19.5174,0.9679,0.8102,Cnn-rss-ma
penbased,0.9784,0.9854,0.9771,0.9838,0.8672,463.249,0.9263,0.9255,Cnn-rss-ma
satimage,0.8731,0.8696,0.8451,0.8384,0.9782,32.5058,0.9239,0.9083,Cnn-rss-ma
thyroid,0.9372,0.9458,0.4726,0.4685,0.9973,28.5697,0.97155,0.7329,Cnn-rss-ma
segment,0.2104,0.1511,0.0805,0.0096,0.9353,4.0036,0.5432,0.47245,Cnn-rss-ma
coil2000,0.9116,0.9158,0.0981,0.0429,0.9927,134.293,0.95425,0.5178,Cnn-rss-ma
magic,0.8169,0.8191,0.6003,0.5924,0.9819,282.509,0.9005,0.78715,Cnn-rss-ma
marketing,0.3113,0.267,0.2147,0.1628,0.9541,30.133,0.61055,0.55845,Cnn-rss-ma
phoneme,0.8108,0.8101,0.5538,0.5364,0.9805,18.4183,0.8953,0.75845,Cnn-rss-ma
ring,0.914,0.913,0.8378,0.8258,0.9623,49.4138,0.93765,0.89405,Cnn-rss-ma
spambase,0.8712,0.8705,0.7397,0.7274,0.9822,10.7736,0.92635,0.8548,Cnn-rss-ma
texture,0.9648,0.9658,0.9622,0.9624,0.8575,84.0142,0.91165,0.90995,Cnn-rss-ma
titanic,0.7756,0.7823,0.4509,0.4514,0.9906,3.2848,0.88645,0.721,Cnn-rss-ma
twonorm,0.9493,0.9574,0.9085,0.9149,0.9923,26.0074,0.97485,0.9536,Cnn-rss-ma
credit-card,0.7923,0.7917,0.2394,0.2364,0.9974,94.9568,0.89455,0.6169,Cnn-rss-ma
shuttle,0.9791,0.9985,0.9958,0.9956,0.944,1185.57,0.97125,0.9698,Cnn-rss-ma
