iris,0.9526,0.92,0.9289,0.88,0.972,0.1291,0.946,0.926,Enn-chc
cleveland,0.6704,0.5825,0.4417,0.3001,0.963,0.367,0.77275,0.63155,Enn-chc
led7digit,0.7624,0.744,0.7357,0.7146,0.9682,0.5451,0.8561,0.8414,Enn-chc
pima,0.8141,0.7239,0.5739,0.3599,0.9289,1.0341,0.8264,0.6444,Enn-chc
wdbc,0.9615,0.9523,0.9166,0.8956,0.9761,0.9131,0.9642,0.93585,Enn-chc
monk2,0.8855,0.8515,0.771,0.7034,0.9637,0.4827,0.9076,0.83355,Enn-chc
wisconsin,0.9732,0.9592,0.941,0.911,0.9717,0.9064,0.96545,0.94135,Enn-chc
wine,0.9652,0.9294,0.947,0.8937,0.9758,0.1929,0.9526,0.93475,Enn-chc
glass,0.7674,0.687,0.6668,0.5421,0.9318,0.2286,0.8094,0.73695,Enn-chc
banknote,0.9979,0.9971,0.9957,0.9941,0.8972,2.1298,0.94715,0.94565,Enn-chc
appendicitis,0.9623,0.9438,0.7982,0.6792,0.9717,0.1422,0.95775,0.82545,Enn-chc
balance,0.8855,0.8657,0.7851,0.7476,0.9522,0.7496,0.90895,0.8499,Enn-chc
bands,0.7729,0.6596,0.484,0.2229,0.9408,0.4344,0.8002,0.58185,Enn-chc
contraceptive,0.5895,0.4678,0.3628,0.1731,0.9041,2.5653,0.68595,0.5386,Enn-chc
dermatology,0.9634,0.9445,0.9531,0.9287,0.9721,0.5299,0.9583,0.9504,Enn-chc
ecoli,0.8505,0.796,0.7829,0.7055,0.9589,0.3897,0.87745,0.8322,Enn-chc
haberman,0.7905,0.7611,0.3168,0.232,0.9863,0.3135,0.8737,0.60915,Enn-chc
hayes-roth,0.7361,0.6125,0.592,0.3955,0.9219,0.1379,0.7672,0.6587,Enn-chc
heart,0.8646,0.8148,0.7237,0.6222,0.9756,0.2903,0.8952,0.7989,Enn-chc
hepatitis,0.9125,0.875,0.6779,0.4848,0.9663,0.0864,0.92065,0.72555,Enn-chc
mammographic,0.8454,0.806,0.6904,0.6117,0.937,1.0858,0.8715,0.77435,Enn-chc
newthyroid,0.9612,0.9399,0.9068,0.8557,0.9819,0.2263,0.9609,0.9188,Enn-chc
tae,0.6689,0.4892,0.5023,0.2263,0.9285,0.1184,0.70885,0.5774,Enn-chc
vehicle,0.7833,0.6747,0.7111,0.566,0.8928,1.2502,0.78375,0.7294,Enn-chc
vowel,0.9364,0.8828,0.93,0.8711,0.7685,1.5126,0.82565,0.8198,Enn-chc
yeast,0.6426,0.5642,0.5311,0.4273,0.8965,2.5965,0.73035,0.6619,Enn-chc
banana,0.8875,0.8851,0.7821,0.7671,0.9598,2.2316,0.92245,0.86345,Enn-chc
cardiotocography,0.8724,0.8672,0.6601,0.6284,0.9721,0.8639,0.91965,0.80025,Enn-chc
eye-state,0.7984,0.7754,0.6033,0.5467,0.8776,11.5479,0.8265,0.71215,Enn-chc
page-blocks,0.949,0.956,0.751,0.7428,0.9809,2.8736,0.96845,0.86185,Enn-chc
penbased,0.9773,0.985,0.9758,0.9833,0.8884,7.0029,0.9367,0.93585,Enn-chc
satimage,0.8864,0.8855,0.8618,0.8583,0.9375,4.0794,0.9115,0.8979,Enn-chc
thyroid,0.9358,0.9442,0.403,0.3912,0.9758,4.4285,0.96,0.6835,Enn-chc
segment,0.1882,0.1407,0.0545,-0.0025,0.9614,1.0229,0.55105,0.47945,Enn-chc
coil2000,0.9228,0.9289,0.0935,0.0487,0.9579,14.3025,0.9434,0.5033,Enn-chc
magic,0.8528,0.826,0.6778,0.6012,0.743,16.7927,0.7845,0.6721,Enn-chc
marketing,0.3476,0.2971,0.2503,0.1907,0.9427,3.5624,0.6199,0.5667,Enn-chc
phoneme,0.8321,0.8242,0.6084,0.5759,0.9494,2.3561,0.8868,0.76265,Enn-chc
ring,0.7809,0.7707,0.5702,0.5393,0.9521,4.4712,0.8614,0.7457,Enn-chc
spambase,0.8729,0.8732,0.7418,0.7311,0.9653,2.988,0.91925,0.8482,Enn-chc
texture,0.9503,0.954,0.9464,0.9494,0.9139,3.2882,0.93395,0.93165,Enn-chc
titanic,0.7763,0.7833,0.4493,0.4514,0.9898,0.5746,0.88655,0.7206,Enn-chc
twonorm,0.952,0.9573,0.914,0.9146,0.9383,4.2723,0.9478,0.92645,Enn-chc
credit-card,0.801,0.795,0.3551,0.3325,0.9622,17.9675,0.8786,0.64735,Enn-chc
shuttle,0.9976,0.9978,0.994,0.9937,0.8843,36.7365,0.94105,0.939,Enn-chc
