iris,0.9741,0.9267,0.9611,0.89,0.9707,0.27,0.9487,0.93035,Enn-ma
cleveland,0.7042,0.5521,0.5089,0.2664,0.9461,0.8643,0.7491,0.60625,Enn-ma
led7digit,0.766,0.73,0.7393,0.6991,0.9708,1.4853,0.8504,0.83495,Enn-ma
pima,0.8289,0.7174,0.6114,0.3523,0.9574,7.0557,0.8374,0.65485,Enn-ma
wdbc,0.9766,0.9416,0.9493,0.8743,0.9821,3.9045,0.96185,0.9282,Enn-ma
monk2,0.9072,0.8562,0.8146,0.7135,0.9743,2.2931,0.91525,0.8439,Enn-ma
wisconsin,0.9776,0.9608,0.9504,0.9131,0.9918,9.4304,0.9763,0.95245,Enn-ma
wine,0.9832,0.9666,0.9745,0.9492,0.9708,0.3391,0.9687,0.96,Enn-ma
glass,0.8084,0.7291,0.7159,0.5946,0.9318,0.4199,0.83045,0.7632,Enn-ma
banknote,0.9989,0.9964,0.9977,0.9926,0.9894,12.2694,0.9929,0.991,Enn-ma
appendicitis,0.9665,0.9375,0.8231,0.6294,0.9811,0.3498,0.9593,0.80525,Enn-ma
balance,0.8905,0.8769,0.7944,0.7688,0.9733,3.8255,0.9251,0.87105,Enn-ma
bands,0.8162,0.668,0.594,0.2643,0.9332,1.353,0.8006,0.59875,Enn-ma
contraceptive,0.6406,0.4773,0.4409,0.1889,0.933,16.986,0.70515,0.56095,Enn-ma
dermatology,0.9789,0.9289,0.9733,0.9098,0.969,1.5115,0.94895,0.9394,Enn-ma
ecoli,0.8926,0.8254,0.8429,0.7448,0.9417,1.2752,0.88355,0.84325,Enn-ma
haberman,0.8134,0.7578,0.3781,0.1659,0.9745,1.6995,0.86615,0.5702,Enn-ma
hayes-roth,0.7847,0.6813,0.6616,0.4987,0.9038,0.2399,0.79255,0.70125,Enn-ma
heart,0.884,0.8037,0.763,0.5949,0.9607,0.899,0.8822,0.7778,Enn-ma
hepatitis,0.9208,0.8625,0.6728,0.479,0.9588,0.1211,0.91065,0.7189,Enn-ma
mammographic,0.8535,0.8145,0.7067,0.6281,0.9793,8.4882,0.8969,0.8037,Enn-ma
newthyroid,0.9736,0.9551,0.9396,0.8972,0.9753,0.8561,0.9652,0.93625,Enn-ma
tae,0.7182,0.5104,0.5728,0.2575,0.9139,0.2509,0.71215,0.5857,Enn-ma
vehicle,0.808,0.6633,0.744,0.5511,0.9204,6.3843,0.79185,0.73575,Enn-ma
vowel,0.9774,0.9111,0.9752,0.9022,0.8437,9.8755,0.8774,0.87295,Enn-ma
yeast,0.6891,0.5681,0.5917,0.4336,0.9423,18.0281,0.7552,0.68795,Enn-ma
banana,0.8633,0.8692,0.7302,0.7319,0.9896,17.1335,0.9294,0.86075,Enn-ma
cardiotocography,0.8858,0.8889,0.694,0.6839,0.9746,3.0763,0.93175,0.82925,Enn-ma
eye-state,0.7977,0.7742,0.6026,0.5449,0.911,270.156,0.8426,0.72795,Enn-ma
page-blocks,0.9342,0.9408,0.6493,0.6349,0.9959,16.5685,0.96835,0.8154,Enn-ma
penbased,0.9723,0.9798,0.9703,0.9776,0.9655,109.47,0.97265,0.97155,Enn-ma
satimage,0.8632,0.8615,0.8334,0.8289,0.9789,32.1135,0.9202,0.9039,Enn-ma
thyroid,0.9365,0.944,0.4528,0.4337,0.9964,30.764,0.9702,0.71505,Enn-ma
segment,0.1909,0.1489,0.0577,0.0071,0.9684,3.8059,0.55865,0.48775,Enn-ma
coil2000,0.9099,0.9146,0.0526,0.0135,0.9952,91.0547,0.9549,0.50435,Enn-ma
magic,0.8211,0.8115,0.6112,0.5762,0.963,316.521,0.88725,0.7696,Enn-ma
marketing,0.2945,0.2837,0.179,0.1649,0.9923,34.3821,0.638,0.5786,Enn-ma
phoneme,0.7932,0.7953,0.5156,0.506,0.9915,17.3694,0.8934,0.74875,Enn-ma
ring,0.6782,0.6812,0.3626,0.3585,0.9962,37.9116,0.8387,0.67735,Enn-ma
spambase,0.8732,0.8777,0.7438,0.7424,0.9873,12.6539,0.9325,0.86485,Enn-ma
texture,0.9563,0.9616,0.9529,0.9578,0.8216,113.351,0.8916,0.8897,Enn-ma
titanic,0.773,0.7814,0.4506,0.4552,0.9894,3.5486,0.8854,0.7223,Enn-ma
twonorm,0.9509,0.9577,0.9119,0.9154,0.9846,38.1463,0.97115,0.95,Enn-ma
credit-card,0.7956,0.795,0.2746,0.2715,0.9971,103.398,0.89605,0.6343,Enn-ma
shuttle,0.9658,0.9854,0.9398,0.9575,0.9982,473.907,0.9918,0.97785,Enn-ma
