iris,0.963,0.9467,0.9444,0.92,0.134,1.4924,0.54035,0.527,Enn-rss-gga
cleveland,0.8096,0.5459,0.6995,0.279,0.2906,8.0685,0.41825,0.2848,Enn-rss-gga
led7digit,0.7038,0.636,0.6693,0.593,0.3022,10.2075,0.4691,0.4476,Enn-rss-gga
pima,0.8747,0.7025,0.7175,0.3308,0.232,18.0607,0.46725,0.2814,Enn-rss-gga
wdbc,0.9701,0.9576,0.9348,0.9068,0.1351,39.1326,0.54635,0.52095,Enn-rss-gga
monk2,0.8843,0.7333,0.7665,0.4622,0.2285,8.5056,0.4809,0.34535,Enn-rss-gga
wisconsin,0.9774,0.9593,0.95,0.9095,0.1291,17.6931,0.5442,0.5193,Enn-rss-gga
wine,0.9619,0.9471,0.9422,0.9205,0.1348,4.668,0.54095,0.52765,Enn-rss-gga
glass,0.8577,0.7657,0.7982,0.666,0.2369,4.0254,0.5013,0.45145,Enn-rss-gga
banknote,0.998,0.9978,0.9959,0.9956,0.1018,26.8554,0.5498,0.5487,Enn-rss-gga
appendicitis,0.9602,0.9238,0.8214,0.6144,0.1481,1.2215,0.53595,0.38125,Enn-rss-gga
balance,0.9193,0.8466,0.8508,0.7211,0.2227,11.3091,0.53465,0.4719,Enn-rss-gga
bands,0.8959,0.7068,0.7714,0.3534,0.2093,14.3717,0.45805,0.28135,Enn-rss-gga
contraceptive,0.788,0.4583,0.6708,0.1612,0.302,38.549,0.38015,0.2316,Enn-rss-gga
dermatology,0.9637,0.9548,0.9538,0.9423,0.1355,25.9527,0.54515,0.5389,Enn-rss-gga
ecoli,0.9111,0.8205,0.8712,0.7389,0.2012,6.9918,0.51085,0.47005,Enn-rss-gga
haberman,0.8627,0.7128,0.6145,0.1416,0.2448,4.0245,0.4788,0.1932,Enn-rss-gga
hayes-roth,0.8472,0.65,0.7582,0.4311,0.2231,1.5606,0.43655,0.3271,Enn-rss-gga
heart,0.9058,0.8074,0.8091,0.6068,0.2044,7.3741,0.5059,0.4056,Enn-rss-gga
hepatitis,0.9431,0.875,0.7678,0.3314,0.1613,1.9428,0.51815,0.24635,Enn-rss-gga
mammographic,0.8665,0.7554,0.7329,0.5107,0.2234,16.4364,0.4894,0.36705,Enn-rss-gga
newthyroid,0.9737,0.9504,0.9379,0.8781,0.1242,2.4817,0.5373,0.50115,Enn-rss-gga
tae,0.8021,0.5567,0.6999,0.3246,0.2417,1.6441,0.3992,0.28315,Enn-rss-gga
vehicle,0.8735,0.7045,0.8313,0.6058,0.2326,32.8126,0.46855,0.4192,Enn-rss-gga
vowel,0.9921,0.9798,0.9914,0.9778,0.1078,35.3741,0.5438,0.5428,Enn-rss-gga
yeast,0.8246,0.5715,0.7714,0.4405,0.2779,39.3012,0.4247,0.3592,Enn-rss-gga
banana,0.9534,0.883,0.9159,0.7632,0.1627,39.4244,0.52285,0.46295,Enn-rss-gga
cardiotocography,0.9491,0.9085,0.8736,0.7388,0.1989,20.8852,0.5537,0.46885,Enn-rss-gga
eye-state,0.9507,0.8331,0.9105,0.6622,0.2012,204.841,0.51715,0.4317,Enn-rss-gga
page-blocks,0.9725,0.9655,0.8916,0.8053,0.1363,57.0765,0.5509,0.4708,Enn-rss-gga
penbased,0.9883,0.9941,0.9881,0.9934,0.1079,169.489,0.551,0.55065,Enn-rss-gga
satimage,0.9493,0.8982,0.9397,0.8744,0.1695,148.327,0.53385,0.52195,Enn-rss-gga
thyroid,0.985,0.9457,0.9524,0.533,0.1088,116.359,0.52725,0.3209,Enn-rss-gga
segment,0.6367,0.1515,0.5778,0.0101,0.4432,20.5384,0.29735,0.22665,Enn-rss-gga
coil2000,0.9461,0.9223,0.4612,0.0722,0.1737,466.553,0.548,0.12295,Enn-rss-gga
magic,0.9156,0.8274,0.8216,0.6036,0.2259,239.156,0.52665,0.41475,Enn-rss-gga
marketing,0.71,0.2909,0.6706,0.1907,0.3459,86.5193,0.3184,0.2683,Enn-rss-gga
phoneme,0.9505,0.8967,0.8929,0.7445,0.1946,44.531,0.54565,0.46955,Enn-rss-gga
ring,0.9572,0.7403,0.9243,0.4778,0.1505,112.531,0.4454,0.31415,Enn-rss-gga
spambase,0.9611,0.9086,0.9291,0.8071,0.1779,142.409,0.54325,0.4925,Enn-rss-gga
texture,0.9843,0.9867,0.9837,0.9854,0.1262,143.22,0.55645,0.5558,Enn-rss-gga
titanic,0.752,0.7596,0.3175,0.3208,0.3143,9.3336,0.53695,0.31755,Enn-rss-gga
twonorm,0.9785,0.9514,0.967,0.9027,0.1296,116.025,0.5405,0.51615,Enn-rss-gga
credit-card,0.9158,0.7605,0.7359,0.2502,0.1812,563.758,0.47085,0.2157,Enn-rss-gga
shuttle,0.999,0.9991,0.9978,0.9974,0.0239,798.983,0.5115,0.51065,Enn-rss-gga
