iris,0.977,0.9067,0.9656,0.86,0.974,0.2593,0.94035,0.917,ma
cleveland,0.7171,0.5838,0.5237,0.3102,0.9306,0.9515,0.7572,0.6204,ma
led7digit,0.7644,0.742,0.7376,0.7122,0.9696,1.2289,0.8558,0.8409,ma
pima,0.8131,0.7659,0.568,0.4569,0.9674,6.313,0.86665,0.71215,ma
wdbc,0.9734,0.9505,0.9423,0.8921,0.983,3.5505,0.96675,0.93755,ma
monk2,0.9532,0.9328,0.9062,0.8653,0.9757,2.4957,0.95425,0.9205,ma
wisconsin,0.9766,0.9578,0.9486,0.9073,0.9927,7.3022,0.97525,0.95,ma
wine,0.9831,0.9292,0.9744,0.8933,0.968,0.3459,0.9486,0.93065,ma
glass,0.7996,0.6545,0.7033,0.4836,0.9145,0.564,0.7845,0.69905,ma
banknote,0.9982,0.9978,0.9964,0.9956,0.9892,12.6341,0.9935,0.9924,ma
appendicitis,0.9644,0.96,0.8391,0.7352,0.9745,0.3151,0.96725,0.85485,ma
balance,0.8843,0.8627,0.7835,0.7431,0.9738,3.8908,0.91825,0.85845,ma
bands,0.7885,0.6582,0.525,0.2308,0.9449,1.2039,0.80155,0.58785,ma
contraceptive,0.6194,0.4819,0.4061,0.194,0.9452,18.6463,0.71355,0.5696,ma
dermatology,0.9746,0.9559,0.9677,0.9438,0.9645,1.256,0.9602,0.95415,ma
ecoli,0.8608,0.8012,0.7961,0.7062,0.9625,1.3572,0.88185,0.83435,ma
haberman,0.8018,0.7089,0.3817,0.1279,0.9768,1.6556,0.84285,0.55235,ma
hayes_roth,0.7688,0.6688,0.6381,0.4826,0.9088,0.2636,0.7888,0.6957,ma
heart,0.8811,0.8296,0.7572,0.6524,0.9696,0.8221,0.8996,0.811,ma
hepatitis,0.9222,0.875,0.6535,0.3771,0.9638,0.1015,0.9194,0.67045,ma
mammographic,0.8459,0.8265,0.6914,0.6529,0.9854,9.7776,0.90595,0.81915,ma
newthyroid,0.9747,0.9313,0.9417,0.832,0.9735,0.7552,0.9524,0.90275,ma
tae,0.6799,0.5567,0.5189,0.3293,0.9106,0.2531,0.73365,0.61995,ma
vehicle,0.7965,0.6621,0.7286,0.549,0.9221,5.1786,0.7921,0.73555,ma
vowel,0.8875,0.8253,0.8763,0.8078,0.8701,5.6765,0.8477,0.83895,ma
yeast,0.6766,0.5623,0.5732,0.4211,0.9472,19.9237,0.75475,0.68415,ma
banana,0.8886,0.8846,0.774,0.7658,0.9484,27.6695,0.9165,0.8571,ma
cardiotocography,0.8783,0.8682,0.6553,0.624,0.9869,3.1308,0.92755,0.80545,ma
eye_state,0.7385,0.719,0.4705,0.4308,0.9717,143.5858,0.84535,0.70125,ma
page_blocks,0.9423,0.9394,0.6565,0.6373,0.9959,16.9769,0.96765,0.8166,ma
penbased,0.9826,0.9809,0.9807,0.9788,0.9032,448.9862,0.94205,0.941,ma
satimage,0.8715,0.8628,0.841,0.8303,0.9672,35.6554,0.915,0.89875,ma
thyroid,0.9447,0.9437,0.4543,0.4416,0.9954,25.3644,0.96955,0.7185,ma
segment,0.2546,0.1546,0.1304,0.0136,0.8941,3.3403,0.52435,0.45385,ma
coil2000,0.9358,0.934,0.0739,0.0454,0.9975,81.9335,0.96575,0.52145,ma
magic,0.8206,0.8078,0.6008,0.5718,0.9699,237.1728,0.88885,0.77085,ma
marketing,0.3404,0.2877,0.2414,0.1808,0.9419,25.6661,0.6148,0.56135,ma
phoneme,0.8127,0.8007,0.5439,0.5128,0.9817,16.7353,0.8912,0.74725,ma
ring,0.7169,0.7041,0.4306,0.4047,0.9704,32.5529,0.83725,0.68755,ma
spambase,0.8696,0.8617,0.7279,0.7113,0.9854,9.3396,0.92355,0.84835,ma
texture,0.9623,0.9586,0.9586,0.9545,0.866,110.976,0.9123,0.91025,ma
titanic,0.7839,0.7828,0.4563,0.4506,0.9902,3.0523,0.8865,0.7204,ma
twonorm,0.9534,0.9523,0.9067,0.9046,0.9954,24.7465,0.97385,0.95,ma
credit_card,0.8043,0.8035,0.3163,0.3128,0.997,97.44,0.90025,0.6549,ma
shuttle,0.9764,0.9962,0.9835,0.9892,0.9976,414.8464,0.9969,0.9934,ma
