iris,0.9726,0.94,0.9589,0.91,0.9727,0.2681,0.95635,0.94135,Rss-ma
cleveland,0.6992,0.6059,0.4858,0.3448,0.9556,1.0823,0.78075,0.6502,Rss-ma
led7digit,0.7669,0.728,0.7407,0.6967,0.9742,1.4398,0.8511,0.83545,Rss-ma
pima,0.808,0.74,0.5662,0.4072,0.9727,6.1474,0.85635,0.68995,Rss-ma
wdbc,0.967,0.9398,0.9286,0.8712,0.9919,3.9374,0.96585,0.93155,Rss-ma
monk2,0.9264,0.8863,0.8527,0.7721,0.9782,2.338,0.93225,0.87515,Rss-ma
wisconsin,0.9769,0.9665,0.9492,0.9264,0.9937,8.1878,0.9801,0.96005,Rss-ma
wine,0.9737,0.9294,0.96,0.8931,0.9787,0.384,0.95405,0.9359,Rss-ma
glass,0.7976,0.6688,0.701,0.5058,0.9322,0.462,0.8005,0.719,Rss-ma
banknote,0.9945,0.9934,0.9888,0.9867,0.9914,16.3687,0.9924,0.98905,Rss-ma
appendicitis,0.9434,0.8938,0.7176,0.4961,0.9717,0.2145,0.93275,0.7339,Rss-ma
balance,0.8823,0.877,0.7797,0.7696,0.9891,4.7406,0.93305,0.87935,Rss-ma
bands,0.7808,0.6224,0.5058,0.1368,0.9496,1.3912,0.786,0.5432,Rss-ma
contraceptive,0.628,0.4801,0.4201,0.1944,0.9347,20.4189,0.7074,0.56455,Rss-ma
dermatology,0.945,0.9146,0.9297,0.8913,0.9768,1.4266,0.9457,0.93405,Rss-ma
ecoli,0.8568,0.8189,0.7914,0.7371,0.956,1.2293,0.88745,0.84655,Rss-ma
haberman,0.8101,0.73,0.4011,0.1513,0.9752,1.7327,0.8526,0.56325,Rss-ma
hayes-roth,0.6833,0.5875,0.5102,0.3519,0.9406,0.3744,0.76405,0.64625,Rss-ma
heart,0.8691,0.8333,0.7328,0.6602,0.9778,0.888,0.90555,0.819,Rss-ma
hepatitis,0.8958,0.85,0.4275,0.1914,0.975,0.0999,0.9125,0.5832,Rss-ma
mammographic,0.8463,0.8313,0.6924,0.6623,0.9878,8.7594,0.90955,0.82505,Rss-ma
newthyroid,0.9498,0.9275,0.873,0.8136,0.9847,0.788,0.9561,0.89915,Rss-ma
tae,0.7042,0.53,0.5526,0.2789,0.9026,0.2229,0.7163,0.59075,Rss-ma
vehicle,0.7782,0.656,0.7043,0.5415,0.9349,6.7902,0.79545,0.7382,Rss-ma
vowel,0.8299,0.7475,0.8128,0.7222,0.8881,11.5964,0.8178,0.80515,Rss-ma
yeast,0.6746,0.5689,0.5729,0.4341,0.951,19.3274,0.75995,0.69255,Rss-ma
banana,0.8694,0.876,0.7437,0.7468,0.974,23.4139,0.925,0.8604,Rss-ma
cardiotocography,0.8226,0.8371,0.4657,0.4626,0.992,2.9228,0.91455,0.7273,Rss-ma
eye-state,0.7464,0.7364,0.4971,0.4665,0.9637,152.679,0.85005,0.7151,Rss-ma
page-blocks,0.9288,0.936,0.643,0.6366,0.9949,25.5404,0.96545,0.81575,Rss-ma
penbased,0.9665,0.9728,0.9639,0.9698,0.8778,422.87,0.9253,0.9238,Rss-ma
satimage,0.8535,0.8552,0.8214,0.8211,0.9694,42.2098,0.9123,0.89525,Rss-ma
thyroid,0.9333,0.9421,0.4113,0.4047,0.9964,32.8508,0.96925,0.70055,Rss-ma
segment,0.2506,0.1372,0.1274,-0.0066,0.8956,3.6726,0.5164,0.4445,Rss-ma
coil2000,0.9089,0.9131,0.0702,0.0289,0.9938,75.31,0.95345,0.51135,Rss-ma
magic,0.8068,0.808,0.5762,0.5662,0.9845,221.963,0.89625,0.77535,Rss-ma
marketing,0.2934,0.2611,0.1928,0.1544,0.9611,27.8332,0.6111,0.55775,Rss-ma
phoneme,0.7951,0.8005,0.5122,0.5107,0.9918,19.1806,0.89615,0.75125,Rss-ma
ring,0.8637,0.8573,0.737,0.714,0.9596,42.5625,0.90845,0.8368,Rss-ma
spambase,0.86,0.8681,0.7192,0.7258,0.9902,10.0464,0.92915,0.858,Rss-ma
texture,0.9277,0.9316,0.9215,0.9248,0.9064,50.5114,0.919,0.9156,Rss-ma
titanic,0.6995,0.7342,0.237,0.2324,0.9951,3.0863,0.86465,0.61375,Rss-ma
twonorm,0.9444,0.952,0.8987,0.9041,0.9946,26.4229,0.9733,0.94935,Rss-ma
credit-card,0.8022,0.8023,0.2749,0.2739,0.9979,100.266,0.9001,0.6359,Rss-ma
shuttle,0.9978,0.9982,0.9945,0.9948,0.9513,955.557,0.97475,0.97305,Rss-ma
