iris,0.9763,0.9667,0.9644,0.95,0.9527,0.2457,0.9597,0.95135,Rss-ssga
cleveland,0.7247,0.5631,0.5525,0.3053,0.8508,0.3319,0.70695,0.57805,Rss-ssga
led7digit,0.718,0.662,0.6859,0.623,0.9114,0.6265,0.7867,0.7672,Rss-ssga
pima,0.8157,0.7164,0.5872,0.3737,0.8465,1.2026,0.78145,0.6101,Rss-ssga
wdbc,0.9643,0.9413,0.9217,0.8718,0.9545,1.3163,0.9479,0.91315,Rss-ssga
monk2,0.8809,0.8167,0.7623,0.6332,0.9153,0.6187,0.866,0.77425,Rss-ssga
wisconsin,0.9745,0.9651,0.9436,0.9237,0.963,1.9268,0.96405,0.94335,Rss-ssga
wine,0.9862,0.9725,0.9792,0.9582,0.9573,0.2952,0.9649,0.95775,Rss-ssga
glass,0.8308,0.7267,0.7611,0.609,0.871,0.2159,0.79885,0.74,Rss-ssga
banknote,0.996,0.9956,0.992,0.9911,0.9622,4.4683,0.9789,0.97665,Rss-ssga
appendicitis,0.9623,0.9138,0.8455,0.6281,0.9623,0.1313,0.93805,0.7952,Rss-ssga
balance,0.8597,0.8335,0.7399,0.6901,0.9483,1.3446,0.8909,0.8192,Rss-ssga
bands,0.8149,0.6245,0.5968,0.1818,0.8323,0.4596,0.7284,0.50705,Rss-ssga
contraceptive,0.6243,0.4583,0.4174,0.1633,0.7886,2.9997,0.62345,0.47595,Rss-ssga
dermatology,0.9659,0.9364,0.9566,0.9194,0.9453,0.6027,0.94085,0.93235,Rss-ssga
ecoli,0.8641,0.7814,0.8034,0.6854,0.8979,0.4327,0.83965,0.79165,Rss-ssga
haberman,0.8094,0.7189,0.3919,0.0827,0.9007,0.3774,0.8098,0.4917,Rss-ssga
hayes-roth,0.7903,0.5938,0.6735,0.3597,0.8531,0.158,0.72345,0.6064,Rss-ssga
heart,0.8774,0.7963,0.7516,0.5891,0.9052,0.3431,0.85075,0.74715,Rss-ssga
hepatitis,0.9222,0.8875,0.6251,0.4514,0.9638,0.0922,0.92565,0.7076,Rss-ssga
mammographic,0.838,0.7916,0.6758,0.5825,0.8937,1.4353,0.84265,0.7381,Rss-ssga
newthyroid,0.9716,0.9485,0.9274,0.8601,0.96,0.3301,0.95425,0.91005,Rss-ssga
tae,0.7586,0.4708,0.6371,0.1988,0.8238,0.1111,0.6473,0.5113,Rss-ssga
vehicle,0.7849,0.6482,0.713,0.5304,0.8395,1.4432,0.74385,0.68495,Rss-ssga
vowel,0.921,0.8384,0.9131,0.8222,0.7868,1.6671,0.8126,0.8045,Rss-ssga
yeast,0.6775,0.5197,0.5787,0.3699,0.8041,3.1249,0.6619,0.587,Rss-ssga
banana,0.8901,0.8908,0.786,0.7769,0.8852,2.8499,0.888,0.83105,Rss-ssga
cardiotocography,0.8781,0.8771,0.66,0.6389,0.9514,1.103,0.91425,0.79515,Rss-ssga
eye-state,0.8008,0.7667,0.6007,0.5196,0.8122,13.0538,0.78945,0.6659,Rss-ssga
page-blocks,0.945,0.9512,0.7343,0.7219,0.9671,5.5642,0.95915,0.8445,Rss-ssga
penbased,0.9805,0.9885,0.9795,0.9873,0.8067,8.6334,0.8976,0.897,Rss-ssga
satimage,0.8792,0.8716,0.8536,0.842,0.8119,5.1614,0.84175,0.82695,Rss-ssga
thyroid,0.905,0.8997,0.476,0.3767,0.9155,5.7662,0.9076,0.6461,Rss-ssga
segment,0.339,0.1498,0.2305,0.0081,0.7916,0.9479,0.4707,0.39985,Rss-ssga
coil2000,0.9204,0.9246,0.1088,0.0262,0.9177,12.1242,0.92115,0.47195,Rss-ssga
magic,0.8165,0.8027,0.5834,0.5351,0.8615,19.2977,0.8321,0.6983,Rss-ssga
marketing,0.448,0.2737,0.3721,0.1717,0.7637,3.9325,0.5187,0.4677,Rss-ssga
phoneme,0.8366,0.8301,0.5915,0.5566,0.8713,2.8382,0.8507,0.71395,Rss-ssga
ring,0.9224,0.8915,0.8547,0.7827,0.825,7.4582,0.85825,0.80385,Rss-ssga
spambase,0.8903,0.8849,0.7799,0.7573,0.8722,2.9937,0.87855,0.81475,Rss-ssga
texture,0.9568,0.9602,0.9534,0.9562,0.8459,3.3894,0.90305,0.90105,Rss-ssga
titanic,0.7629,0.7696,0.4047,0.4065,0.9804,1.2767,0.875,0.69345,Rss-ssga
twonorm,0.941,0.9441,0.892,0.8881,0.8932,5.5177,0.91865,0.89065,Rss-ssga
credit-card,0.7956,0.7669,0.3534,0.2589,0.8467,22.9713,0.8068,0.5528,Rss-ssga
shuttle,0.998,0.9983,0.9951,0.9953,0.9387,92.6277,0.9685,0.967,Rss-ssga
