iris,0.9719,0.9467,0.9578,0.92,0.9167,0.1425,0.9317,0.91835,ssga
cleveland,0.7433,0.5907,0.5781,0.3256,0.8357,0.2904,0.7132,0.58065,ssga
led7digit,0.7111,0.622,0.6783,0.5789,0.8304,0.3914,0.7262,0.70465,ssga
pima,0.8255,0.7143,0.6052,0.3413,0.809,0.9706,0.76165,0.57515,ssga
wdbc,0.9744,0.9472,0.9445,0.8847,0.8499,0.807,0.89855,0.8673,ssga
monk2,0.9069,0.7849,0.8135,0.5688,0.8164,0.4609,0.80065,0.6926,ssga
wisconsin,0.9777,0.9593,0.9508,0.9099,0.8466,0.8056,0.90295,0.87825,ssga
wine,0.9862,0.9471,0.9788,0.9187,0.9112,0.1887,0.92915,0.91495,ssga
glass,0.851,0.7061,0.7855,0.5725,0.8374,0.2,0.77175,0.70495,ssga
banknote,0.9995,0.9978,0.999,0.9956,0.8233,1.9947,0.91055,0.90945,ssga
appendicitis,0.9707,0.9338,0.8649,0.6594,0.9519,0.1038,0.94285,0.80565,ssga
balance,0.878,0.842,0.7765,0.7118,0.8299,0.6654,0.83595,0.77085,ssga
bands,0.8143,0.6714,0.5932,0.2956,0.8222,0.3919,0.7468,0.5589,ssga
contraceptive,0.6222,0.4354,0.4154,0.1299,0.7909,2.3099,0.61315,0.4604,ssga
dermatology,0.9737,0.9427,0.9667,0.9272,0.8665,0.4319,0.9046,0.89685,ssga
ecoli,0.8783,0.7956,0.8234,0.7013,0.8503,0.3654,0.82295,0.7758,ssga
haberman,0.8297,0.7556,0.4794,0.2531,0.8471,0.2898,0.80135,0.5501,ssga
hayes_roth,0.7875,0.5813,0.6665,0.3331,0.8156,0.1207,0.69845,0.57435,ssga
heart,0.8914,0.8111,0.7794,0.6165,0.8556,0.2568,0.83335,0.73605,ssga
hepatitis,0.9153,0.7625,0.6882,0.2213,0.93,0.068,0.84625,0.57565,ssga
mammographic,0.8491,0.7855,0.6979,0.5704,0.8157,1.0376,0.8006,0.69305,ssga
newthyroid,0.9721,0.9628,0.9328,0.9065,0.8981,0.1924,0.93045,0.9023,ssga
tae,0.752,0.5046,0.6276,0.2569,0.8278,0.1282,0.6662,0.54235,ssga
vehicle,0.7992,0.6505,0.7322,0.5338,0.7987,1.1757,0.7246,0.66625,ssga
vowel,0.9398,0.8838,0.9338,0.8722,0.7589,1.2075,0.82135,0.81555,ssga
yeast,0.6798,0.5276,0.5812,0.3804,0.7868,2.3061,0.6572,0.5836,ssga
banana,0.9009,0.8797,0.7996,0.7566,0.846,2.0155,0.86285,0.8013,ssga
cardiotocography,0.901,0.8794,0.7177,0.655,0.8952,0.8157,0.8873,0.7751,ssga
eye_state,0.8318,0.7782,0.6597,0.5512,0.7998,8.1422,0.789,0.6755,ssga
page_blocks,0.9607,0.9511,0.7809,0.724,0.8591,2.3354,0.9051,0.79155,ssga
penbased,0.991,0.9868,0.99,0.9853,0.8266,4.959,0.9067,0.90595,ssga
satimage,0.913,0.8916,0.8924,0.8659,0.8399,2.9289,0.86575,0.8529,ssga
thyroid,0.9471,0.937,0.5434,0.443,0.8547,3.4614,0.89585,0.64885,ssga
segment,0.3352,0.1377,0.2244,-0.0061,0.8025,0.8695,0.4701,0.3982,ssga
coil2000,0.9291,0.9155,0.2023,0.0364,0.8408,7.0551,0.87815,0.4386,ssga
magic,0.8479,0.8044,0.6583,0.5567,0.8081,11.0371,0.80625,0.6824,ssga
marketing,0.4385,0.2958,0.3576,0.1942,0.8008,3.1245,0.5483,0.4975,ssga
phoneme,0.877,0.8431,0.7047,0.6212,0.8438,2.1808,0.84345,0.7325,ssga
ring,0.8423,0.7698,0.6837,0.5376,0.8069,3.3822,0.78835,0.67225,ssga
spambase,0.9028,0.8821,0.7962,0.7531,0.8468,2.1174,0.86445,0.79995,ssga
texture,0.9719,0.9648,0.9691,0.9613,0.8382,2.3282,0.9015,0.89975,ssga
titanic,0.7844,0.7838,0.4532,0.4497,0.917,0.4438,0.8504,0.68335,ssga
twonorm,0.9581,0.948,0.9162,0.896,0.8395,3.3044,0.89375,0.86775,ssga
credit_card,0.7834,0.7498,0.3935,0.2439,0.807,17.891,0.7784,0.52545,ssga
shuttle,0.9988,0.9987,0.9971,0.9963,0.8041,37.4363,0.9014,0.9002,ssga
