iris,0.96,0.94,0.954667,0.173121,10,0
cleveland,0.591475,0.337904,0.883502,0.256721,10,0
led7digit,0.686,0.648877,0.8972,1.2055,10,0
pima,0.735025,0.398517,0.928255,1.47429,10,0
wdbc,0.945879,0.882736,0.975923,0.51082,10,0
monk,0.907183,0.814352,0.971759,0.614394,10,0
wisconsin,0.972307,0.938787,0.993997,0.664705,10,0
wine,0.923529,0.884814,0.918539,0.257214,10,0
glass,0.695048,0.549593,0.857477,0.270259,10,0
banknote,0.99635,0.992589,0.986589,3.09805,10,0
banana,0.880566,2.60669,0.945321,0.84342,10,1
cardiotocography,0.865709,1.05676,0.906999,0.217587,10,1
eye_state,0.77757,3.30083,0.88765,11.9631,10,1
page_blocks,0.937503,0.602331,0.996053,1.25304,10,1
penbased,0.986718,0.985239,0.882505,38.0682,10,1
satimage,0.87243,0.842615,0.901818,3.81978,10,1
thyroid,0.936389,0.977314,0.993125,1.52169,10,1
segment,0.14632,0.0040404,0.685195,0.213787,10,1
credit_card,0.750933,1.04586,0.984096,5.25481,25,1
shuttle,0.99669,0.990603,0.996359,50.0422,25,1
